problem_id,arm,dist1,dist2,min,max,spread,solved,node_count,expansions,disjunct_reached,picked_cheapest,hops1,hops2,cheaper_by_cost,cheaper_by_hops,agree
161,BFS,298.04163359320046,140.09850600037896,140.09850600037896,298.04163359320046,157.9431275928215,True,207,51,d2,True,55,26,d2,d2,True
161,DFS,298.04163359320046,140.09850600037896,140.09850600037896,298.04163359320046,157.9431275928215,True,223,55,d1,False,55,26,d2,d2,True
161,CheapestFirst,298.04163359320046,140.09850600037896,140.09850600037896,298.04163359320046,157.9431275928215,True,211,52,d2,True,55,26,d2,d2,True
161,DNF,298.04163359320046,140.09850600037896,140.09850600037896,298.04163359320046,157.9431275928215,True,327,81,,,55,26,d2,d2,True
162,BFS,180.74678589914635,194.37565878408478,180.74678589914635,194.37565878408478,13.628872884938431,True,148,37,d1,True,30,34,d1,d1,True
162,DFS,180.74678589914635,194.37565878408478,180.74678589914635,194.37565878408478,13.628872884938431,True,123,30,d1,True,30,34,d1,d1,True
162,CheapestFirst,180.74678589914635,194.37565878408478,180.74678589914635,194.37565878408478,13.628872884938431,True,148,37,d1,True,30,34,d1,d1,True
162,DNF,180.74678589914635,194.37565878408478,180.74678589914635,194.37565878408478,13.628872884938431,True,259,64,,,30,34,d1,d1,True
163,BFS,388.86522157814517,15.187154055948357,15.187154055948357,388.86522157814517,373.6780675221968,True,23,5,d2,True,74,3,d2,d2,True
163,DFS,388.86522157814517,15.187154055948357,15.187154055948357,388.86522157814517,373.6780675221968,True,299,74,d1,False,74,3,d2,d2,True
163,CheapestFirst,388.86522157814517,15.187154055948357,15.187154055948357,388.86522157814517,373.6780675221968,True,23,5,d2,True,74,3,d2,d2,True
163,DNF,388.86522157814517,15.187154055948357,15.187154055948357,388.86522157814517,373.6780675221968,True,311,77,,,74,3,d2,d2,True
164,BFS,107.97747260305995,176.4993917435742,107.97747260305995,176.4993917435742,68.52191914051424,True,144,36,d1,True,18,33,d1,d1,True
164,DFS,107.97747260305995,176.4993917435742,107.97747260305995,176.4993917435742,68.52191914051424,True,75,18,d1,True,18,33,d1,d1,True
